1796236,Shanghai,CN,31.22222,121.45806
1816670,Beijing,CN,39.9075,116.39723
1795565,Shenzhen,CN,22.54554,114.0683
1809858,Guangzhou,CN,23.11667,113.25
2332459,Lagos,NG,6.45407,3.39467
745044,Istanbul,TR,41.01384,28.94966
1815286,Chengdu,CN,30.66667,104.06667
3435910,Buenos Aires,AR,-34.61315,-58.37723
1275339,Mumbai,IN,19.07283,72.88261
3530597,Mexico City,MX,19.42847,-99.12766
1174872,Karachi,PK,24.8608,67.0104
1792947,Tianjin,CN,39.14222,117.17667
1273294,Delhi,IN,28.65195,77.23149
1791247,Wuhan,CN,30.58333,114.26667
524901,Moscow,RU,55.75222,37.61556
1185241,Dhaka,BD,23.7104,90.40744
1835848,Seoul,KR,37.566,126.9784
3448439,São Paulo,BR,-23.5475,-46.63611
1812545,Dongguan,CN,23.01797,113.74866
360630,Cairo,EG,30.06263,31.24967
1790630,Xi’an,CN,34.25833,108.92861
1799962,Nanjing,CN,32.06167,118.77778
1808926,Hangzhou,CN,30.29365,120.16142
1811103,Foshan,CN,23.02677,113.13148
1566083,Ho Chi Minh City,VN,10.82302,106.62965
2643743,London,GB,51.50853,-0.12574
5128581,New York City,US,40.71427,-74.00597
1642911,Jakarta,ID,-6.21462,106.84513
1277333,Bengaluru,IN,12.97194,77.59369
1850147,Tokyo,JP,35.6895,139.69171
1581130,Hanoi,VN,21.0245,105.84117
1668341,Taipei,TW,25.04776,121.53185
2314302,Kinshasa,CD,-4.32758,15.31357
3936456,Lima,PE,-12.04318,-77.02824
3688689,Bogotá,CO,4.60971,-74.08175
1819729,Hong Kong,HK,22.27832,114.17469
1814906,Chongqing,CN,29.56026,106.55771
98182,Baghdad,IQ,33.34058,44.40088
1797929,Qingdao,CN,36.06488,120.38042
112931,Tehran,IR,35.69439,51.42151
2034937,Shenyang,CN,41.79222,123.43278
1269843,Hyderābād,IN,17.38405,78.45636
1886760,Suzhou,CN,31.30408,120.59538
1279233,Ahmedabad,IN,23.02579,72.58727
1172451,Lahore,PK,31.558,74.35071
3451190,Rio de Janeiro,BR,-22.90642,-43.18223
1880252,Singapore,SG,1.28967,103.85007
993800,Johannesburg,ZA,-26.20227,28.04363
498817,Saint Petersburg,RU,59.93863,30.31413
361058,Alexandria,EG,31.20176,29.91582
